City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.20,-175.20,79.38,83,100,11.97,moderate rain
1,Faanui,PF,-16.48,-151.75,81.57,70,11,15.01,light rain
2,Carlsbad,US,33.16,-117.35,58.95,89,100,5.75,mist
3,Lazaro Cardenas,MX,17.96,-102.20,71.15,72,5,4.16,clear sky
4,Dingle,PH,11.00,122.67,78.28,83,63,6.6,broken clouds
5,Puerto Ayora,EC,-0.74,-90.35,76.55,100,100,7.58,light rain
6,Hermanus,ZA,-34.42,19.23,71.8,62,38,11.05,scattered clouds
7,Ashland,US,40.82,-82.27,61.34,73,67,19.73,broken clouds
8,Ushuaia,AR,-54.80,-68.30,47.82,66,20,26.46,few clouds
9,Hay River,CA,60.82,-115.80,13.98,85,100,10.36,light snow
10,Srednekolymsk,RU,67.45,153.68,-17.36,100,91,1.43,overcast clouds
11,Punta Arenas,CL,-53.15,-70.92,48.31,61,20,11.5,few clouds
12,Batsfjord,NO,70.63,29.72,28.33,93,100,20.71,overcast clouds
13,Santa Maria Da Vitoria,BR,-13.39,-44.19,90.9,38,16,4.23,few clouds
14,Mataura,NZ,-46.19,168.86,46.63,93,100,2.89,overcast clouds
15,Dongying,CN,37.46,118.49,46.54,47,100,7.18,overcast clouds
16,Cape Town,ZA,-33.93,18.42,73.11,57,0,24.16,clear sky
17,Isangel,VU,-19.55,169.27,80.71,86,91,7.07,overcast clouds
18,Tocopilla,CL,-22.09,-70.20,70.16,65,1,7.52,clear sky
19,Thompson,CA,55.74,-97.86,23.16,63,100,2.3,overcast clouds
20,Mercedes,AR,-34.65,-59.43,59.86,35,0,7.83,clear sky
21,Mar Del Plata,AR,-38.00,-57.56,57.22,86,40,11.01,scattered clouds
22,Samoded,RU,63.61,40.51,26.19,77,89,4.99,overcast clouds
23,Yellowknife,CA,62.46,-114.35,11.41,82,100,5.75,overcast clouds
24,Alexandria,EG,31.22,29.96,68.67,50,41,15.03,scattered clouds
25,Bowmore,US,34.94,-79.30,72.9,79,75,16.11,broken clouds
26,Hithadhoo,MV,-0.60,73.08,83.46,69,7,5.41,clear sky
27,Kloulklubed,PW,7.04,134.26,75.7,89,100,13.51,heavy intensity rain
28,Shibetsu,JP,43.66,145.13,29.5,97,100,7.02,light snow
29,Aksarka,RU,66.56,67.80,16.16,77,100,20.56,overcast clouds
30,Cherskiy,RU,68.75,161.30,-6.72,99,100,5.97,overcast clouds
31,Jamestown,US,42.10,-79.24,63.99,62,100,25.32,overcast clouds
32,Teya,RU,60.38,92.63,32.43,92,99,14.12,light snow
33,Urucara,BR,-2.54,-57.76,73.6,98,100,1.88,overcast clouds
34,Port Elizabeth,ZA,-33.92,25.57,70.11,81,100,9.22,overcast clouds
35,Mildura,AU,-34.20,142.15,62.56,55,0,12.66,clear sky
36,Lowestoft,GB,52.48,1.75,45.95,70,100,32.77,overcast clouds
37,Hobart,AU,-42.88,147.33,55.26,73,100,10.36,overcast clouds
38,Arraial Do Cabo,BR,-22.97,-42.03,84.16,78,75,10.36,broken clouds
39,Mackay,AU,-21.15,149.20,69.78,88,25,3.44,scattered clouds
40,Talnakh,RU,69.49,88.40,15.21,95,54,6.93,broken clouds
41,Kapaa,US,22.08,-159.32,73.72,94,75,11.5,broken clouds
42,Airai,TL,-8.93,125.41,58.68,90,16,1.86,few clouds
43,Hervey Bay,AU,-25.30,152.85,75.02,76,61,8.99,broken clouds
44,Avarua,CK,-21.21,-159.78,75.25,94,0,2.3,clear sky
45,Atuona,PF,-9.80,-139.03,78.28,73,13,9.91,few clouds
46,Rio Gallegos,AR,-51.62,-69.22,48.25,76,0,6.91,clear sky
47,Cidreira,BR,-30.18,-50.21,63.9,55,5,10.04,clear sky
48,Leningradskiy,RU,69.38,178.42,-10.89,93,92,3.11,overcast clouds
49,Tuktoyaktuk,CA,69.45,-133.04,-23.8,76,20,10.36,few clouds
50,Albany,US,42.60,-73.97,51.26,77,75,6.51,broken clouds
51,Saskylakh,RU,71.92,114.08,5.74,97,99,5.12,overcast clouds
52,Tazovskiy,RU,67.47,78.70,12.81,90,100,15.61,overcast clouds
53,Santa Cruz Del Sur,CU,20.71,-78.00,78.94,62,1,12.95,light rain
54,Belene,BG,43.65,25.12,66.6,57,100,5.55,overcast clouds
55,Samandag,TR,36.08,35.98,73.92,52,58,2.17,broken clouds
56,Tilichiki,RU,60.47,166.10,-4.31,96,16,8.41,few clouds
57,Ancud,CL,-41.87,-73.82,54.23,64,100,2.57,overcast clouds
58,Clyde River,CA,70.47,-68.59,-0.17,85,100,8.05,light snow
59,Dikson,RU,73.51,80.55,19.78,86,85,14.18,overcast clouds
60,Souillac,MU,-20.52,57.52,79.18,73,75,18.41,broken clouds
61,Takhtamygda,RU,54.10,123.57,15.49,93,52,3.02,broken clouds
62,Pevek,RU,69.70,170.31,-21.62,99,98,5.21,overcast clouds
63,Lavrentiya,RU,65.58,-171.00,14.99,88,100,11.01,overcast clouds
64,Marawi,PH,8.00,124.29,68.25,94,90,1.14,overcast clouds
65,Okha,RU,53.57,142.95,4.55,96,32,7.94,scattered clouds
66,Fortuna,US,40.60,-124.16,41.99,92,0,6.91,clear sky
67,Jinka,ET,5.65,36.65,88.38,19,36,1.52,scattered clouds
68,Dhidhdhoo,MV,6.88,73.10,84.4,70,26,4.21,scattered clouds
69,Roebourne,AU,-20.78,117.13,85.78,66,100,7.67,overcast clouds
70,Nova Olimpia,BR,-14.80,-57.29,62.94,98,100,7.43,light rain
71,Carnarvon,AU,-24.87,113.63,73.47,94,75,18.41,light rain
72,Busselton,AU,-33.65,115.33,72.64,66,0,10.11,clear sky
73,Nouadhibou,MR,20.93,-17.03,80.58,34,0,19.57,sand
74,Ilulissat,GL,69.22,-51.10,17.62,100,100,3.44,fog
75,Winnemucca,US,40.97,-117.74,26.65,74,0,4.61,clear sky
76,Port Alfred,ZA,-33.59,26.89,65.17,87,100,5.01,overcast clouds
77,Cururupu,BR,-1.83,-44.87,73.71,98,100,2.68,overcast clouds
78,Kaitangata,NZ,-46.28,169.85,48.7,83,100,10.29,overcast clouds
79,Riohacha,CO,11.54,-72.91,80.71,69,75,13.8,broken clouds
80,Yinchuan,CN,38.47,106.27,53.33,13,9,4.54,clear sky
81,Pisco,PE,-13.70,-76.22,66.25,77,72,8.05,mist
82,Bambous Virieux,MU,-20.34,57.76,80.22,73,75,18.41,light rain
83,Mweka,CD,-4.85,21.57,93.9,31,14,2.73,few clouds
84,Bathsheba,BB,13.22,-59.52,79.79,70,100,17.27,overcast clouds
85,Juneau,US,58.30,-134.42,38.21,97,100,0.0,fog
86,Ibia,BR,-19.48,-46.54,83.91,64,7,4.27,clear sky
87,Hilo,US,19.73,-155.09,71.33,88,100,3.44,overcast clouds
88,Malanje,AO,-9.54,16.34,84.58,84,75,3.44,broken clouds
89,Hovd,MN,48.01,91.64,31.64,31,0,1.97,clear sky
90,Tiksi,RU,71.69,128.87,-2.24,99,100,5.35,overcast clouds
91,Georgetown,MY,5.41,100.34,80.53,88,40,3.44,scattered clouds
92,San Jeronimo,PE,-11.95,-75.28,52.16,82,92,2.44,overcast clouds
93,Bo Phloi,TH,14.32,99.52,88.32,52,33,4.65,light rain
94,Castro,BR,-24.79,-50.01,64.71,95,98,5.66,overcast clouds
95,Ribeira Grande,PT,38.52,-28.70,64.8,82,75,4.61,broken clouds
96,Bredasdorp,ZA,-34.53,20.04,68.7,51,92,12.57,overcast clouds
97,New Norfolk,AU,-42.78,147.06,54.9,66,39,2.86,scattered clouds
98,Lebu,CL,-37.62,-73.65,54.75,60,3,18.9,clear sky
99,Kentau,KZ,43.52,68.51,57.0,42,11,2.08,few clouds
100,Buraydah,SA,26.33,43.98,93.65,9,0,9.86,clear sky
101,Rawson,AR,-43.30,-65.10,61.86,26,51,8.21,broken clouds
102,Smithers,CA,54.78,-127.17,26.92,93,40,2.3,scattered clouds
103,Eureka,US,40.80,-124.16,42.26,82,100,9.89,overcast clouds
104,Nikolskoye,RU,59.70,30.79,36.79,63,93,5.95,overcast clouds
105,Severo-Kurilsk,RU,50.68,156.12,30.58,95,100,15.39,light snow
106,Zhezkazgan,KZ,47.80,67.71,53.58,50,0,6.71,clear sky
107,Lucapa,AO,-8.42,20.74,82.87,56,53,3.44,broken clouds
108,Henties Bay,NA,-22.12,14.28,65.61,76,1,13.67,clear sky
109,Biak,ID,-0.91,122.88,77.32,81,62,3.65,broken clouds
110,Bluff,NZ,-46.60,168.33,50.41,64,100,13.42,overcast clouds
111,West Bay,KY,19.37,-81.42,83.07,79,20,13.8,few clouds
112,Vila Do Maio,CV,15.13,-23.22,77.79,75,20,19.06,few clouds
113,Sinnamary,GF,5.38,-52.95,80.29,77,42,10.87,scattered clouds
114,Vao,NC,-22.67,167.48,78.8,85,1,11.63,clear sky
115,Coquimbo,CL,-29.95,-71.34,56.93,88,75,6.91,mist
116,Katsuura,JP,35.13,140.30,54.3,84,100,21.18,light rain
117,Deputatskiy,RU,69.30,139.90,-19.5,97,32,4.83,scattered clouds
118,Vaitape,PF,-16.52,-151.75,81.59,70,11,14.97,light rain
119,Carbonia,IT,39.17,8.52,63.01,81,100,11.81,overcast clouds
120,Barrow,US,71.29,-156.79,-16.58,76,0,13.8,clear sky
121,Honiara,SB,-9.43,159.95,78.51,88,100,2.3,overcast clouds
122,Komsomolskiy,UZ,40.43,71.72,66.92,30,0,2.3,clear sky
123,Kulob,TJ,37.91,69.78,66.96,63,0,4.47,haze
124,Upernavik,GL,72.79,-56.15,21.06,90,100,12.59,overcast clouds
125,Northam,GB,51.03,-4.22,49.66,48,10,20.29,clear sky
126,Nishihara,JP,26.18,127.76,72.68,94,100,11.5,mist
127,Grand Gaube,MU,-20.01,57.66,80.38,74,97,10.0,overcast clouds
128,Asau,RO,46.43,26.40,67.95,37,100,11.74,overcast clouds
129,Thinadhoo,MV,0.53,72.93,83.32,70,20,5.57,few clouds
130,Orange Cove,US,36.62,-119.31,52.61,82,100,1.41,overcast clouds
131,Lima,PE,-12.04,-77.03,64.65,82,0,4.61,clear sky
132,Khatanga,RU,71.97,102.50,7.38,94,34,7.7,scattered clouds
133,Qaanaaq,GL,77.48,-69.36,19.02,69,49,7.81,scattered clouds
134,Bandarbeyla,SO,9.49,50.81,82.2,74,4,11.39,clear sky
135,Dzhebariki-Khaya,RU,62.22,135.80,-10.61,100,46,0.34,scattered clouds
136,Miles City,US,46.41,-105.84,25.77,80,40,6.91,scattered clouds
137,Huarmey,PE,-10.07,-78.15,72.48,79,91,7.96,overcast clouds
138,Victoria,HK,22.29,114.16,75.96,79,15,13.0,few clouds
139,Islamabad,PK,33.71,73.13,83.84,25,0,5.46,clear sky
140,Cam Ranh,VN,11.92,109.16,75.16,94,75,0.0,heavy intensity rain
141,Sitka,US,57.05,-135.33,37.29,87,100,6.91,overcast clouds
142,Atambua,ID,-9.11,124.89,72.73,86,2,3.49,clear sky
143,Khuzdar,PK,27.74,66.64,79.3,3,0,2.77,clear sky
144,Chokurdakh,RU,70.63,147.92,-28.82,100,84,1.34,broken clouds
145,Esperance,AU,-33.87,121.90,64.24,81,100,20.4,overcast clouds
146,Camacha,PT,33.08,-16.33,62.02,68,75,14.97,broken clouds
147,Kavaratti,IN,10.57,72.64,83.66,74,5,6.58,clear sky
148,Lompoc,US,34.64,-120.46,52.79,77,100,18.99,overcast clouds
149,Paragominas,BR,-2.97,-47.48,75.18,91,100,3.53,light rain
150,Salta,AR,-24.79,-65.41,53.58,75,75,2.3,broken clouds
151,Puerto Escondido,MX,15.85,-97.07,68.83,94,0,6.91,clear sky
152,Rockingham,US,42.97,-71.10,44.8,79,100,4.43,overcast clouds
153,Provideniya,RU,64.38,-173.30,20.43,88,100,19.15,overcast clouds
154,Ibaiti,BR,-23.85,-50.19,73.11,75,79,4.5,broken clouds
155,Ushtobe,KZ,45.25,77.98,51.84,41,0,8.79,clear sky
156,San Quintin,MX,30.48,-115.95,58.89,75,100,12.3,overcast clouds
157,Necochea,AR,-38.55,-58.74,57.67,70,96,11.21,overcast clouds
158,Surok,RU,56.45,48.12,32.11,81,100,4.9,overcast clouds
159,Bani,DO,18.28,-70.33,78.85,56,6,15.37,clear sky
160,Menongue,AO,-14.66,17.69,76.89,64,71,6.67,light rain
161,Bjornevatn,NO,69.67,29.98,25.14,68,75,10.36,broken clouds
162,Kasongo-Lunda,CD,-6.47,16.82,89.6,52,71,2.37,broken clouds
163,Ponta Do Sol,PT,32.67,-17.10,69.71,70,22,1.16,few clouds
164,Safford,US,32.83,-109.71,56.12,87,0,5.75,clear sky
165,Grindavik,IS,63.84,-22.43,43.27,65,75,8.05,broken clouds
166,Nome,US,64.50,-165.41,30.27,51,0,18.41,clear sky
167,Nizhneangarsk,RU,55.78,109.55,13.48,89,100,2.46,overcast clouds
168,Vila Velha,BR,-20.33,-40.29,88.95,63,0,9.22,clear sky
169,Yulara,AU,-25.24,130.99,76.84,27,99,10.36,overcast clouds
170,Avera,US,33.19,-82.53,65.71,93,100,19.01,light rain
171,Sanming,CN,26.25,117.62,66.2,96,100,4.52,overcast clouds
172,Sheopur,IN,25.67,76.70,93.58,7,0,6.71,clear sky
173,Los Llanos De Aridane,ES,28.66,-17.92,64.15,84,20,11.5,few clouds
174,East London,ZA,-33.02,27.91,67.14,88,100,14.97,thunderstorm with rain
175,Sorong,ID,-0.88,131.25,78.96,86,100,7.14,overcast clouds
176,Ilo,PE,-17.64,-71.34,63.46,82,49,0.0,mist
177,Preobrazheniye,RU,42.90,133.91,32.63,59,30,5.73,scattered clouds
178,San Marcos,US,33.14,-117.17,57.09,88,100,5.75,mist
179,Acapulco,MX,16.86,-99.89,67.82,88,0,2.3,clear sky
180,Saint-Joseph,RE,-21.37,55.62,79.18,70,32,15.48,scattered clouds
181,Acarau,BR,-2.89,-40.12,75.31,92,100,9.51,overcast clouds
182,Vilya,RU,55.25,42.21,35.24,83,100,7.78,overcast clouds
183,Namatanai,PG,-3.67,152.43,79.43,81,69,4.0,light rain
184,Rocha,UY,-34.48,-54.33,62.89,45,75,14.16,broken clouds
185,Flin Flon,CA,54.77,-101.86,15.64,86,40,4.61,scattered clouds
186,Yeppoon,AU,-23.13,150.73,74.98,71,0,10.89,clear sky
187,Amapa,BR,1.00,-52.00,82.29,69,100,1.48,overcast clouds
188,Saint-Pierre,RE,-21.34,55.48,80.28,65,0,27.63,clear sky
189,Tongliao,CN,43.61,122.27,35.51,28,0,12.33,clear sky
190,Beloha,MG,-25.17,45.05,83.73,49,0,13.24,clear sky
191,Baruun-Urt,MN,46.68,113.28,27.3,27,80,8.57,broken clouds
192,Saint-Philippe,RE,-21.36,55.77,80.19,71,47,14.72,scattered clouds
193,Sturgeon Bay,US,44.83,-87.38,30.6,93,100,17.27,light snow
194,Kadhan,PK,24.48,68.99,89.53,31,0,14.2,clear sky
195,Tashtyp,RU,52.79,89.90,32.97,90,100,3.98,overcast clouds
196,Vila Franca Do Campo,PT,37.72,-25.43,63.01,76,100,6.15,overcast clouds
197,Adrar,MR,20.50,-10.07,84.99,14,100,12.19,overcast clouds
198,Olafsvik,IS,64.89,-23.71,39.13,79,99,7.0,overcast clouds
199,Port Hedland,AU,-20.32,118.57,82.45,83,67,5.75,broken clouds
200,Iqaluit,CA,63.75,-68.51,26.33,93,100,6.91,light snow
201,Klaksvik,FO,62.23,-6.59,38.32,63,100,6.96,overcast clouds
202,Laguna,US,38.42,-121.42,51.64,94,40,0.0,mist
203,Chapais,CA,49.78,-74.85,26.38,94,100,13.78,snow
204,Paamiut,GL,61.99,-49.67,32.9,87,100,5.1,light snow
205,Mareeba,AU,-17.00,145.43,67.44,88,7,1.48,clear sky
206,Chuy,UY,-33.70,-53.46,63.05,44,13,10.4,few clouds
207,Waingapu,ID,-9.66,120.26,78.75,84,22,4.0,few clouds
208,Nowogard,PL,53.67,15.12,46.96,23,0,11.5,clear sky
209,Lagoa,PT,39.05,-27.98,61.18,88,100,7.2,overcast clouds
210,Nichinan,JP,31.60,131.37,57.67,89,100,10.71,overcast clouds
211,Kenora,CA,49.82,-94.43,22.17,79,100,11.5,overcast clouds
212,Waslala,NI,13.23,-85.38,77.79,66,30,2.17,scattered clouds
213,Kalemie,CD,-5.95,29.19,74.84,78,99,8.61,overcast clouds
214,Torbay,CA,47.67,-52.73,39.58,78,75,21.85,moderate rain
215,Tiznit,MA,29.58,-9.50,63.21,49,0,11.68,clear sky
216,Wamba,NG,8.93,8.60,104.32,10,100,8.1,overcast clouds
217,Kresttsy,RU,58.25,32.52,32.68,52,43,4.23,scattered clouds
218,Wanning,CN,18.80,110.40,75.07,93,100,6.15,overcast clouds
219,Thunder Bay,CA,48.40,-89.32,27.28,74,100,13.8,overcast clouds
220,Abu Samrah,SY,35.30,37.18,70.7,26,9,4.38,clear sky
221,Zhaotong,CN,27.32,103.72,38.07,97,100,7.43,overcast clouds
222,Lagoa Formosa,BR,-18.78,-46.41,84.02,57,11,4.59,few clouds
223,Ahipara,NZ,-35.17,173.17,62.64,91,52,2.95,broken clouds
224,Puntarenas,CR,9.98,-84.84,83.41,55,87,2.86,overcast clouds
225,Monrovia,LR,6.30,-10.80,92.97,69,43,7.38,scattered clouds
226,Nouakchott,MR,18.09,-15.98,93.13,29,7,10.78,clear sky
227,Hohhot,CN,40.81,111.65,35.89,25,0,4.47,clear sky
228,Skjervoy,NO,70.03,20.97,30.2,58,100,9.13,light snow
229,Manaus,BR,-3.10,-60.02,81.09,89,75,5.75,broken clouds
230,Tsiroanomandidy,MG,-18.77,46.03,74.93,74,37,4.21,light rain
231,Lata,PT,40.16,-8.33,57.81,61,71,15.14,broken clouds
232,Russell,US,32.35,-85.20,62.2,89,74,8.86,broken clouds
233,Guerrero Negro,MX,27.98,-114.06,59.47,74,99,14.36,overcast clouds
234,Butaritari,KI,3.07,172.79,79.83,81,57,11.9,light rain
235,Luderitz,NA,-26.65,15.16,72.72,56,0,26.46,clear sky
236,Pahrump,US,36.21,-115.98,53.26,48,71,2.08,broken clouds
237,Pachuquilla,MX,20.07,-98.70,62.51,21,0,3.11,clear sky
238,Waipawa,NZ,-41.41,175.52,54.86,94,92,2.68,overcast clouds
239,Rajkot,IN,22.30,70.78,100.36,17,0,9.22,smoke
240,Ndele,CF,8.41,20.65,106.27,10,10,4.0,clear sky
241,Kununurra,AU,-15.77,128.73,75.18,78,47,3.44,scattered clouds
242,Ust-Maya,RU,60.42,134.53,-4.59,100,27,3.15,scattered clouds
243,Bandipur,NP,27.93,84.42,70.07,56,76,3.87,broken clouds
244,Port Lincoln,AU,-34.73,135.87,60.42,71,21,22.59,few clouds
245,Tasiilaq,GL,65.61,-37.64,39.36,99,100,6.89,light rain
246,Port Macquarie,AU,-31.43,152.92,62.89,78,67,18.68,broken clouds
247,Ballina,AU,-28.87,153.57,69.98,89,99,20.74,overcast clouds
248,Hobyo,SO,5.35,48.53,84.24,69,5,14.38,clear sky
249,Fort-Shevchenko,KZ,44.51,50.26,48.69,65,0,9.28,clear sky
250,Alofi,NU,-19.06,-169.92,71.49,100,83,1.14,broken clouds
251,Onega,RU,63.91,38.14,20.93,87,71,5.91,broken clouds
252,Acari,PE,-15.43,-74.62,74.03,68,86,4.9,overcast clouds
253,Namibe,AO,-15.20,12.15,77.63,65,20,20.71,few clouds
254,Mahebourg,MU,-20.41,57.70,80.26,73,75,18.41,broken clouds
255,Panarukan,ID,-7.70,113.92,76.71,91,69,0.72,broken clouds
256,Monte Patria,CL,-30.69,-70.95,76.51,16,0,4.25,clear sky
257,Mogadishu,SO,2.04,45.34,87.67,79,40,14.97,scattered clouds
258,Port Keats,AU,-14.25,129.55,81.57,79,100,7.09,overcast clouds
259,Karatsu,JP,33.44,129.97,55.9,37,100,7.0,overcast clouds
260,Tashtagol,RU,52.77,87.89,32.49,99,100,2.57,overcast clouds
261,Kirakira,SB,-10.45,161.92,79.86,85,100,3.69,overcast clouds
262,Constitucion,CL,-35.33,-72.42,59.92,43,0,5.91,clear sky
263,Nyuksenitsa,RU,60.41,44.24,28.58,78,100,10.69,light snow
264,Banda Aceh,ID,5.56,95.32,81.05,76,100,1.74,overcast clouds
265,Cayenne,GF,4.93,-52.33,84.24,11,75,10.36,broken clouds
266,Mirnyy,RU,62.54,113.96,32.23,69,100,11.01,overcast clouds
267,Zhangye,CN,38.93,100.45,45.88,31,38,1.63,scattered clouds
268,Fatehabad,IN,29.52,75.45,88.12,8,0,6.67,clear sky
269,Merauke,ID,-8.47,140.33,80.31,76,100,7.2,overcast clouds
270,Anqing,CN,30.51,117.05,51.03,87,100,10.38,overcast clouds
271,Adeje,ES,28.12,-16.73,69.1,57,40,20.71,scattered clouds
272,Pangnirtung,CA,66.15,-65.71,19.4,86,100,0.0,light snow
273,Bethel,US,41.37,-73.41,50.9,90,100,0.0,mist
274,Resistencia,AR,-27.46,-58.98,65.08,59,0,9.22,clear sky
275,Liwale,TZ,-9.77,37.93,71.4,97,100,3.65,light rain
276,Sembakung,ID,3.82,117.25,75.51,97,11,1.92,few clouds
277,Hanstholm,DK,57.12,8.62,38.62,50,30,15.03,scattered clouds
278,Coahuayana,MX,18.73,-103.68,70.47,39,17,2.39,few clouds
279,Misratah,LY,32.38,15.09,81.73,35,82,18.66,broken clouds
280,Abhaynagar,BD,23.01,89.40,85.53,58,21,16.31,few clouds
281,Amudat,UG,1.95,34.95,84.2,35,86,19.57,overcast clouds
282,Ipixuna,BR,-1.76,-48.80,74.48,95,100,1.5,light rain
283,Peleduy,RU,59.63,112.74,32.4,91,100,10.98,light snow
284,Micheweni,TZ,-4.97,39.83,83.97,69,100,5.57,overcast clouds
285,Krasnoarmeysk,RU,51.02,45.70,40.64,100,100,3.06,overcast clouds
286,Moose Factory,CA,51.26,-80.61,28.4,93,100,8.05,overcast clouds
287,San Patricio,US,28.02,-97.52,66.06,52,2,8.95,clear sky
288,Havre-Saint-Pierre,CA,50.23,-63.60,35.96,60,40,6.91,scattered clouds
289,Touros,BR,-5.20,-35.46,84.02,68,98,11.39,overcast clouds
290,Makakilo City,US,21.35,-158.09,72.68,89,100,4.61,mist
291,Virginia Beach,US,36.85,-75.98,69.06,74,100,7.0,overcast clouds
292,Kokologo,BF,12.19,-1.89,104.16,5,35,1.59,scattered clouds
293,Barsovo,RU,61.17,73.17,24.93,82,90,13.04,overcast clouds
294,Homer,US,59.64,-151.55,35.47,86,100,9.17,overcast clouds
295,Erzin,TR,36.96,36.20,67.8,51,89,3.36,overcast clouds
296,Harper,LR,4.38,-7.72,83.79,75,99,8.21,light rain
297,Tuatapere,NZ,-46.13,167.68,49.08,87,100,3.74,overcast clouds
298,Statesville,US,35.78,-80.89,65.39,65,100,9.22,moderate rain
299,Novopokrovka,UA,49.84,36.55,62.11,52,90,17.65,overcast clouds
300,Okhotsk,RU,59.38,143.30,12.85,85,99,5.12,overcast clouds
301,Maumere,ID,-8.62,122.21,79.72,78,6,2.73,clear sky
302,Manokwari,ID,-0.87,134.08,78.49,83,100,3.04,light rain
303,Cabo San Lucas,MX,22.89,-109.91,65.52,71,100,5.12,overcast clouds
304,Pontes E Lacerda,BR,-15.23,-59.34,58.51,97,100,2.28,light rain
305,Mananara,MG,-16.17,49.77,73.2,97,100,0.38,heavy intensity rain
306,Yangambi,CD,0.81,24.43,94.03,35,82,2.48,broken clouds
307,Praya,CV,14.92,-23.51,77.54,57,20,21.85,few clouds
308,Narsaq,GL,60.92,-46.05,50.22,67,93,1.1,overcast clouds
309,Baneh,IR,36.00,45.89,59.13,42,5,7.34,clear sky
310,Jalu,LY,29.03,21.55,92.95,5,100,16.02,overcast clouds
311,Mapiripan,CO,2.89,-72.13,83.59,63,100,3.83,overcast clouds
312,Catia La Mar,VE,10.60,-67.03,84.99,74,20,4.61,few clouds
313,Tazmalt,DZ,36.39,4.40,57.97,65,75,15.68,broken clouds
314,Challans,FR,46.84,-1.87,43.97,97,90,23.13,overcast clouds
315,Santa Cruz,BO,-17.80,-63.17,62.65,34,75,26.46,broken clouds
316,Villa Guerrero,MX,18.87,-99.65,62.28,15,2,1.54,clear sky
317,Meulaboh,ID,4.14,96.13,79.27,79,95,2.59,overcast clouds
318,Dunedin,NZ,-45.87,170.50,53.8,85,100,13.0,overcast clouds
319,Brae,GB,60.40,-1.35,40.37,60,96,18.97,overcast clouds
320,Porosozero,RU,62.72,32.73,26.87,68,100,4.79,overcast clouds
321,Hokitika,NZ,-42.72,170.97,59.29,86,100,2.19,overcast clouds
322,Sydney,AU,-33.87,151.21,62.64,80,75,25.32,light rain
323,Ostrovnoy,RU,68.05,39.51,25.38,83,100,16.02,light snow
324,Batticaloa,LK,7.71,81.69,82.42,79,5,14.2,clear sky
325,Oktyabrskiy,RU,54.48,53.47,32.49,93,100,6.15,overcast clouds
326,Saint George,US,37.10,-113.58,54.95,55,0,5.99,clear sky
327,Husavik,IS,66.04,-17.34,33.78,96,100,1.95,light snow
328,Mahibadhoo,MV,3.78,72.97,83.73,66,3,2.06,clear sky
329,Broome,US,42.25,-75.83,58.01,74,100,14.0,overcast clouds
330,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,75.56,92,100,1.83,overcast clouds
331,Nuuk,GL,64.18,-51.72,32.61,93,75,10.36,broken clouds
332,Paka,MY,4.64,103.44,78.73,89,67,2.3,broken clouds
333,Narwar,IN,25.65,77.90,92.32,10,0,7.02,clear sky
334,Seydi,TM,39.48,62.91,70.97,19,74,4.03,broken clouds
335,Kruisfontein,ZA,-34.00,24.73,67.89,71,100,9.84,overcast clouds
336,Ambam,CM,2.38,11.28,83.91,61,94,3.96,overcast clouds
337,Sao Filipe,CV,14.90,-24.50,72.28,75,6,12.95,clear sky
338,Port Augusta,AU,-32.50,137.77,62.55,52,0,17.9,clear sky
339,Dhemaji,IN,27.48,94.58,73.22,73,100,7.65,overcast clouds
340,Te Anau,NZ,-45.42,167.72,48.31,90,100,4.54,light rain
